sound,speaker,audience,MEAN_MELODIC,MEAN_RHYTHMIC,MEAN_PLEASANT,MEAN_MUSICAL,Language,Sex,Audience,Text,Syllables.A,Syllables.M,Length,Tempo,F0_mean,F0_stdev,F0_min,F0_max,F0_stability,Spectral_Centroid,Spectral_Bandwidth,Spectral.Contrast,Spectral.Flatness,Spectral.Rolloff,Chroma_C,Chroma_Cs,Chroma_D,Chroma_Ds,Chroma_E,Chroma_F,Chroma_Fs,Chroma_G,Chroma_Gs,Chroma_A,Chroma_As,Chroma_B,Chroma_whitekey,MFCC_01_mean,MFCC_02_mean,MFCC_03_mean,MFCC_04_mean,MFCC_05_mean,MFCC_06_mean,MFCC_07_mean,MFCC_08_mean,MFCC_09_mean,MFCC_10_mean,MFCC_11_mean,MFCC_12_mean,MFCC_13_mean,MFCC_01_stdev,MFCC_02_stdev,MFCC_03_stdev,MFCC_04_stdev,MFCC_05_stdev,MFCC_06_stdev,MFCC_07_stdev,MFCC_08_stdev,MFCC_09_stdev,MFCC_10_stdev,MFCC_11_stdev,MFCC_12_stdev,MFCC_13_stdev,Speaking_Rate,Talker_ID
a_m_rus_01-01-188.wav,male,adult,2,2.2,2.8,2.1,Russian,Male,Adult," Подумай, останься.",7,6,2.1348,117.4538,163.5199,44.0537,100.8244,246.829,-12.6397,2849.9089,2354.3454,22.9366,0.0189,5220.6315,0.2646,0.2667,0.3492,0.2646,0.4723,0.4767,0.5368,0.4988,0.434,0.4582,0.4628,0.3858,0.4151,-366.1315,61.0534,20.2314,12.5199,3.2564,22.6132,-16.7832,9.0087,-9.0287,2.7427,-4.1051,2.0965,-19.0595,108.2941,68.6886,22.9942,20.887,24.1386,14.8264,14.515,12.335,12.1938,13.1168,9.2173,8.8031,9.6384,3.044781713,T6
a_m_rus_01-01-189.wav,male,adult,2.2,2.4,2.6,2.3,Russian,Male,Adult, Как можно? Да ведь и...,6,8,2.7562,92.2852,165.9053,45.0046,91.3944,241.1914,-12.9355,2461.9805,2404.5543,24.563,0.0158,4952.8177,0.2188,0.2414,0.38,0.2188,0.3311,0.3726,0.3709,0.3638,0.4743,0.503,0.4163,0.2934,0.3518,-372.2326,71.2867,14.0088,22.9923,16.8359,14.689,-25.8575,2.1387,-14.0736,-3.6837,-7.3023,-1.0375,-5.0273,106.107,57.4942,33.6388,31.7186,24.2164,18.4312,16.1559,10.7515,14.5794,16.4777,14.2674,10.1628,13.6564,2.539728612,T6
a_m_rus_01-01-19.wav,male,adult,2.6,3,3.6,2.8,Russian,Male,Adult, Голос ей изменит.,6,6,1.5936,117.4538,129.1396,20.867,104.38,170.5481,-5.5727,2276.7103,2316.335,25.2746,0.0135,4383.0991,0.2722,0.2783,0.2226,0.2722,0.364,0.2855,0.1704,0.3034,0.3645,0.4213,0.5289,0.3618,0.3187,-395.8986,66.5775,40.4919,45.4064,19.6059,25.526,-17.1229,11.8638,-6.6415,-6.983,-13.1311,-5.5574,-16.6849,102.0105,65.1859,20.2889,23.2697,28.7794,20.1178,16.1383,10.6863,9.76,13.772,10.8534,10.7994,8.7887,3.765060241,T6
a_m_rus_01-01-190.wav,male,adult,2.8,2.6,2.6,2.7,Russian,Male,Adult, Белье уложено.,6,6,1.1025,86.1328,135.6131,25.3058,86.2649,182.7889,-11.1234,1215.3663,1812.3435,26.4699,6.00E-04,2476.767,0.1727,0.1453,0.1972,0.1727,0.4372,0.4975,0.3894,0.2997,0.2943,0.3733,0.3397,0.259,0.3195,-343.2031,128.5758,35.8722,22.7173,1.6801,-1.7179,-29.224,1.1447,-23.9007,-16.6588,-13.7904,-11.5879,-15.0067,63.0403,41.964,28.1816,24.4875,42.0104,29.4094,18.7398,12.8157,9.1662,14.4685,15.3788,17.9682,8.3095,5.442176871,T6
a_m_rus_01-01-191.wav,male,adult,1.8,2.2,2.2,2,Russian,Male,Adult," сказал он, не зная, что выдумать.",11,10,2.0346,107.666,127.9452,19.2836,71.2936,169.5658,-6.1502,2025.1587,2038.641,25.8643,0.0122,3733.0744,0.4541,0.4615,0.3814,0.4541,0.1818,0.1662,0.2278,0.3216,0.3281,0.2887,0.2677,0.35,0.3063,-360.7933,91.1952,24.6222,26.0607,11.4946,24.0179,-10.024,0.5058,-19.0065,-6.1023,-11.213,1.9502,-12.3613,106.63,72.4014,24.054,17.7845,27.0816,20.1594,12.6022,11.7912,17.4945,13.2421,10.5218,11.7335,10.1019,5.160719552,T6
a_m_rus_01-01-192.wav,male,adult,2.8,2.6,2.8,2.7,Russian,Male,Adult, Уложено бельё.,5,6,1.5936,123.0469,171.8117,25.5808,130.7531,291.8401,-10.2702,1623.2169,2073.418,24.8967,0.0096,3235.7539,0.1655,0.2112,0.2859,0.1655,0.5945,0.5158,0.3604,0.3113,0.2291,0.1362,0.13,0.1652,0.3106,-385.8909,99.512,14.1251,19.7366,4.0301,14.0118,-15.6947,5.9406,-17.3037,-8.6148,-13.3427,-2.8754,-16.3042,71.8102,41.3767,31.1533,24.3704,28.5271,15.4082,15.9783,12.286,12.2187,11.486,14.7285,12.5571,11.5653,3.451305221,T6
a_m_rus_01-01-195.wav,male,adult,1.6,2.4,2.2,2,Russian,Male,Adult," — Вот, гляди, и не уложено.",10,9,1.784,143.5547,190.0099,40.1364,108.6869,300.3917,-11.2619,1774.8942,2356.5983,26.0931,0.0019,3773.7638,0.1242,0.1787,0.2466,0.1242,0.3108,0.3663,0.4641,0.3833,0.2649,0.2794,0.178,0.1258,0.2623,-315.2819,82.6245,29.3335,28.1977,1.9768,15.4455,-20.3153,11.7417,-16.0422,-15.0488,-14.4167,-5.5915,-23.1721,62.3257,40.564,22.9147,25.9312,26.8756,18.6642,14.0287,10.1373,10.6737,13.6087,11.7433,10.8211,8.3634,5.325112108,T6
a_m_rus_01-01-197.wav,male,adult,2,2.6,3.2,2.3,Russian,Male,Adult, Вынула все из чемодана.,10,9,1.5736,135.9992,128.2191,23.8495,87.2672,183.8478,-6.2449,2058.7462,2009.7379,25.2549,0.0135,3342.5548,0.2794,0.3189,0.3159,0.2794,0.2688,0.2686,0.2611,0.3256,0.3002,0.3625,0.3565,0.355,0.3108,-330.66,97.0118,24.2408,17.9953,14.0976,19.5678,-12.3823,4.9551,-18.0758,-2.5772,-15.6116,6.9391,-12.8476,56.2903,85.9751,21.2996,29.0047,23.5925,15.8092,10.6322,13.756,12.5208,15.8842,12.8971,12.6777,9.1455,6.037112354,T6
a_m_rus_01-01-198.wav,male,adult,1.8,2.4,2.4,2.1,Russian,Male,Adult," Как же это, маменька!",6,7,1.313,112.3471,128.4013,33.5791,80.488,197.0432,-10.0979,2062.798,2390.0613,25.2507,0.0118,4294.5518,0.358,0.3195,0.3316,0.358,0.4797,0.4912,0.4126,0.3758,0.3417,0.3926,0.2941,0.3721,0.4001,-322.9874,101.3069,4.5616,7.8368,25.3657,16.2072,-28.5931,-1.2138,-17.0109,5.7804,-8.5373,1.3454,-6.7971,92.8029,41.3029,30.6678,25.3229,27.5411,17.0295,12.736,16.5106,14.1317,9.8481,12.908,11.3182,11.0984,4.95049505,T6
a_m_rus_01-01-199.wav,male,adult,2.8,3.2,3,3,Russian,Male,Adult, Собрался и вдруг опять?,8,7,1.774,129.1992,130.3075,29.9238,86.2649,170.5481,-10.824,2470.5246,2314.6911,24.6202,0.0115,4703.0473,0.3886,0.3041,0.3772,0.3886,0.5448,0.386,0.3163,0.3352,0.3191,0.4255,0.4665,0.4854,0.4204,-305.7146,92.974,20.9287,5.5724,3.1166,15.5466,-29.8599,-8.6979,-21.8193,-6.5078,-15.8686,0.6674,-9.4375,75.4175,72.7873,22.7936,26.7402,27.6705,17.2831,15.2824,14.8945,9.8025,12.5747,9.4483,11.0631,14.7273,4.227733935,T6
